video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Sk7mERCSODs&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@1320video,1320video,Denver STREET RACING! (600-1500hp Street cars!),2.8M,4 years,"Denver showed up BIG TIME this year! Bringing out some heavy hitters, like a NITROUS McLaren 720s, a Supercharged 5th Gen ...",2024-02-03 22:33:23.251966
/watch?v=LLzeccyosLs&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@1320video,1320video,"1,000hp Cars on the Denver STREETS!",808K,3 years,"High horsepower street cars breed a competitive environment, which can sometimes transition to rather dramatic night events.",2024-02-03 22:33:23.254839
/watch?v=cq7uPGkI9Lo&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@Denver7,Denver7,RAW: Graphic video shows protester run over in Denver,1.7M,3 years,A car caught in the middle of people protesters near the Colorado State Capitol is seen turning around and running over a ...,2024-02-03 22:33:23.257193
/watch?v=uv4YGlQJk54&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@sydandmacky,SYD and MACKY,First race of 2024 and it was TOUGH one (El Paso Puzzler),19K,21 hours,"Today, we're heading to El Paso, Texas to kick off our season with a very unique race – the El Paso Puzzler 50 Miler. We love this ...",2024-02-03 22:33:23.259967
/watch?v=U9sCQyWYpKk&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@1320video,1320video,STREET RACING in Denver!,444K,5 years,"We never know what to expect when we visit Devner, Co. We've seen packs of FAST turbo Hondas, 1000hp GTR's, and this time ...",2024-02-03 22:33:23.263035
/watch?v=TZOmpbGz-vs&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@1320video,1320video,Denver Streets | unbeatable GTR and a VERY close call!,512K,4 years,"With Colorado being our neighbor state, we pop in every once in a while and when we do.. we gotta go street racing! The Denver ...",2024-02-03 22:33:23.266499
/watch?v=LkgIn3O2RRk&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@southpark,South Park Studios,Cartman Drives at the Denver 300 NASCAR Race - SOUTH PARK,304K,2 years,"Things get bloody as the Denver 300 NASCAR race heats up. ""Poor and Stupid"" S14 Subscribe to South Park: ...",2024-02-03 22:33:23.269000
/watch?v=lRKkzn6j-Uw&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@CleetusM,Cleetus McFarland,RACE WEEK Day 1: Denver Check In and First Runs!! Ruby and Leroy Ran AMAZING!,1M,3 years,"**SEND ME FAN MAIL... (bald eagles welcome) Cleetus McFarland 12961 44th St N. Ste B Clearwater, FL 33762 United States of ...",2024-02-03 22:33:23.271700
/watch?v=RJ0cFLMa0c0&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@MotorsportsonNBC,Motorsports on NBC,2023 Supercross EXTENDED HIGHLIGHTS: Round 16 in Denver | 5/6/23 | Motorsports on NBC,183K,8 months,"NBC Sports – the home of motorsports – features unparalleled motorsports programming, fueled by the network's media rights ...",2024-02-03 22:33:23.273980
/watch?v=E8ZZNkmt39c&pp=ygUKcmFjZURlbnZlcg%3D%3D,/@NBA,NBA,BEST Moments of the Denver Nuggets Championship Run!,162K,7 months,"Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams.",2024-02-03 22:33:23.276738
