video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=S7oMM6o96UU&pp=ygUJcmFjZU1pYW1p,/@redbullracing,Oracle Red Bull Racing,Race To Miami | Sergio Perez takes a Road Trip from New York to Miami,4.3M,1 year,"As the excitement grows around the Miami Grand Prix, Checo takes a trip through the city streets of New York and the swampy ...",2024-02-03 22:27:31.985851
/watch?v=2-jvlhc7c58&pp=ygUJcmFjZU1pYW1p,/@Formula1,FORMULA 1,Race Highlights | 2023 Miami Grand Prix,6.5M,8 months,"Checo Perez started on pole, his team mate and rival Max Verstappen in 9th. Catch up on all the key moments as we took the F1 ...",2024-02-03 22:27:31.988605
/watch?v=Bixit7nxYE4&pp=ygUJcmFjZU1pYW1p,/@Formula1,FORMULA 1,Race Highlights | 2022 Miami Grand Prix,8.7M,1 year,"The championship heats up as F1 races in Miami for the very first time! For more F1® videos, visit http://www.Formula1.com Follow ...",2024-02-03 22:27:31.991232
/watch?v=3i9ihYSWV8Y&pp=ygUJcmFjZU1pYW1p,/@dreamscopefilms,Dreamscope Films ,Rally 2 Race: Miami 2022 Aftermovie | Dreamscope Films (4K),28K,1 year,"Miami was a movie!! Crazy to believe it's been a year since the first Miami rally, and brought back the heat for the second one for ...",2024-02-03 22:27:40.631193
/watch?v=Lv8vKg04bys&pp=ygUJcmFjZU1pYW1p,/@VICE,VICE,Why Miami’s Street Racers Are Turning to Legal Raceways,1M,4 years,"Street racing has long been popular in Miami with a variety of groups, some who gather at undisclosed locations off U.S. Highway ...",2024-02-03 22:27:40.634832
/watch?v=3hMSe_t_XcI&pp=ygUJcmFjZU1pYW1p,/@GreenerGrass,Jeb Brooks,TRAIN vs PLANE Race Miami to Orlando (Brightline vs Delta Air Lines),402K,3 months,Watch this video to find out whether a train can beat a plane? Brightline just opened the newest intercity train in the United States ...,2024-02-03 22:27:40.638972
/watch?v=Barxn35TtHQ&pp=ygUJcmFjZU1pYW1p,/@WorldSailingTV,World Sailing TV,"Full Laser Medal Race - Sailing's World Cup Series | Miami, USA 2018",72K,6 years,"Regatta Park, Miami, USA is hosting more than 500 sailors from 50 nations for the second of four regattas in Sailing's 2018 World ...",2024-02-03 22:27:40.654126
/watch?v=zJRswyrJ7XY&pp=ygUJcmFjZU1pYW1p,/@Formula1,FORMULA 1,Sergio Perez's Pole Lap | 2023 Miami Grand Prix | Pirelli,421K,8 months,"Sergio Perez adds another pole to his collection with this flying lap in Miami! For more F1® videos, visit https://www.Formula1.com ...",2024-02-03 22:27:40.657062
/watch?v=J7GX-URjQFk&pp=ygUJcmFjZU1pYW1p,/@cozzzymedia,Cozzzy Media,Rally 2 Race | The Miami Aftermovie 2022 | Cozzzy Media  (4K),19K,1 year,WOW! is an understatement. Having the opportunity to film my first ever rally is something I didn't think I would be doing anytime ...,2024-02-03 22:27:40.659792
/watch?v=3gqki45ZnCw&pp=ygUJcmFjZU1pYW1p,/@Topsteppa,Top_Steppa707,MIAMI FLORIDA INTERSECTION TAKEOVER *Hellcat gone wild*,1.7M,1 year,If you Haven't already Subscribed Go Ahead And Hit that Red Button And Ring The Bell Cash app info is ...,2024-02-03 22:27:40.663188
/watch?v=MgMND2Y-_S8&pp=ygUJcmFjZU1pYW1p,/@Ferrari,Ferrari,"Ferrari Challenge North America Coppa Shell - Homestead-Miami, Race 1",7.5K,Streamed 10 months,Watch all of the Ferrari Challenge action live from the Homestead-Miami Speedway. #Ferrari488ChallengeEvo ...,2024-02-03 22:27:40.666089
/watch?v=rpwklKEv38w&pp=ygUJcmFjZU1pYW1p,/@redbull,Red Bull,F1 Drivers Race TINY Jet Boats! (Daniel vs Yuki) 🚤,2.1M,8 months,"Which Formula 1 driver would win a race in MINI Jet Boats?! Ahead of the Miami Grand Prix, Daniel Ricciardo & Yuki Tsunoda ...",2024-02-03 22:27:40.670255
/shorts/6BYJ0b3_qFk,/@charles_leclerc,Charles Leclerc,Miami Post-Race Recap #shorts,168K,1 year,"Disappointed with the pace this weekend at the Miami GP, but happy to be back on a podium with Ferrari! We'll work harder ...",2024-02-03 22:27:40.674534
/watch?v=qtIVvQ8sNPw&pp=ygUJcmFjZU1pYW1p,/@redbullracing,Oracle Red Bull Racing,Max Verstappen Drives F1 Car in The Rocky Mountains 🇺🇸,6.9M,5 years,Ever seen an Formula One car rip through the Rocky Mountains and across the sand in Miami Beach? Now you have. The Red ...,2024-02-03 22:27:40.679786
